pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,平均值
54.913193403521085,54.27055535965538,53.03641165364106,53.71046002157662,54.77290392897576,54.14982954831099,54.66639507843701,54.53517822141384,54.133335135462026,45.90253645531137,54.07338680560584
69.26129673947173,66.56206657785982,66.08244527229418,66.81577947318084,67.85834917066269,67.58387252946628,67.95652951221193,67.82735106830751,66.32773482999878,58.66777938970783,67.30193619654192
46.54346645754987,48.124799750553166,44.73439025995271,46.16400313926,47.19496393312537,45.96278557611108,46.97818569215469,46.43521755814872,47.14653177012112,38.448810357762994,46.46755215601858
57.30454395951286,49.35395087237361,56.59442082236464,54.09805718069365,55.415038128623024,57.08987449985973,55.27509377270212,57.44292668947905,53.644285901173255,46.797199079008166,54.41763855141704
84.80507535341827,77.62442667424384,82.68648805967088,81.11923383750819,82.24506121764495,83.3892723061678,82.54645308621623,83.46360916164642,79.73427748437113,72.87942869998511,81.705330029111
47.73914173554576,45.66649750691227,47.1063963724351,46.55924739243173,47.72373922915243,47.73325281734555,47.49121616961877,48.185828788604624,47.19854166093447,39.1252044654356,46.83734520496438
77.63102368544295,67.79121769968027,73.19846360974134,72.35934781858857,73.59257222373968,75.170026970746,73.74979099330656,75.33383772715464,70.45321293219304,64.41583325860434,72.87356833162153
76.43534840744707,75.16612443060293,73.19846360974134,74.36988347339917,75.32293026289285,74.60133879135192,75.54907068169324,74.77017449396332,73.85559730884047,65.90323698277129,74.93331214926378
42.95644062356221,40.7498930196305,41.17638109122913,41.38695290007061,42.56998553562754,42.45405244516826,42.25842407206203,42.963805845320806,41.96494038053129,34.05136492175857,41.62757157814061
82.4137247974265,76.39527555242339,77.9424758347061,78.32874884108077,79.40213494651702,79.84833781200308,79.67341007262264,79.96238667759185,76.79493739080513,69.96720718261592,78.91715872818533
60.89156979350052,59.18715984693716,59.15412830905943,55.92446487659125,60.86103117990055,58.86546612887417,59.551511673063935,61.636398437544095,58.18572044580222,57.56129202898886,58.66773150567631
56.108868681516974,54.27055535965538,56.31054567755962,57.11681565989405,56.1226938787825,57.08624208388592,56.69502853744502,57.00784948710688,56.45398889716757,58.71522051699602,55.83207990035547
52.52184284752931,44.43734638509183,50.75437463002229,53.53976330998564,49.819309827960325,53.5775089529431,51.17641940690733,53.53643777427897,50.0817250840452,55.25343505297455,50.166317514202255
64.47859562748819,65.33291545603939,65.41183182277346,65.46327114301366,65.51463658573255,65.27328605608582,65.8848454483405,65.107810150372,65.7316662320267,66.79271993304613,65.09159407551375
88.39210118740594,83.77018228334605,86.75364515009058,88.11793602576691,86.45669201633915,88.08502290779582,87.66316854931735,88.25055490255806,85.46070285164438,88.71736120518213,86.7600731655063
53.7175181255252,53.04140423783494,53.578000103454,52.34741252668284,54.30345144322021,53.58745194241068,53.88514228183863,54.69357501188827,53.54857539863347,54.09950656496739,53.03544496334766
68.06562146147584,61.64546209057805,68.4724763303855,75.00207740943608,65.7688322715907,71.68110598329748,69.16692042625232,68.5792218631999,68.65062863464064,76.02414783710338,68.23772032049665
53.7175181255252,53.04140423783494,53.19791418476101,51.15506174338003,54.30345144322021,53.00763458783523,53.49335293917596,54.69357501188827,52.96681524386153,52.94557807696023,52.63799470224672
66.86994618347997,59.18715984693716,62.32580987406566,59.50151722649965,64.03432173131446,63.55371995959884,62.88018354302684,67.42208462559061,59.93100088691539,61.023077493010334,61.852874418972256
63.2829203494923,56.72885760329628,59.16743308110483,55.92446487659125,61.03049497047265,60.04498682865602,59.65001851352235,63.9506729127627,57.028974605700256,57.56129202898886,58.645414276459945
65.67427090548408,65.4508928837924,64.89644221605299,65.0237166904153,64.623373949212,64.79473633025083,65.61480308934505,65.07673245272663,64.79585960238721,65.02336292194823,65.06469569024968
58.500219237508745,58.07598615286974,57.78042387860583,57.869611990598486,57.51586799753492,57.7772700683652,58.391658334004525,58.13390902707082,57.83506118825364,58.09979199390529,57.9321703712165
50.130492291537536,49.47192830012663,49.47840248491748,49.52315650747887,49.22377772057834,49.590226096165296,49.9646561194406,50.03394836380569,49.71412970509781,50.02229257785519,49.610890832344445
66.86994618347997,65.06943463385745,63.7104391598118,65.00350502112894,63.43878962393248,64.35769487057179,65.21201015242498,64.65518986805337,63.63572653336495,63.86943443394108,64.67305832240808
72.8483225734594,72.02049492883738,70.82645749725896,71.57154015797579,70.54629557560955,71.0088930071398,72.03462264661381,71.23021597302684,70.59652494749851,70.79300536198403,71.40702521544263
