0,1,2,3,4,5,6,7,8,9,index
68.0,72.0,,,56.0,58.0,61.0,,64.0,71.0,96
71.0,74.0,71.0,,58.0,,63.0,71.0,61.0,,26
70.0,77.0,71.0,67.0,58.0,57.0,61.0,,,,41
71.0,68.0,,,59.0,65.0,61.0,,58.0,76.0,90
70.0,75.0,,65.0,58.0,49.0,64.0,73.0,,,86
72.0,68.0,71.0,66.0,58.0,54.0,61.0,,,,45
75.0,74.0,,,61.0,62.0,64.0,,56.0,66.0,93
71.0,72.0,72.0,,,55.0,62.0,,54.0,72.0,170
71.0,74.0,71.0,67.0,58.0,54.0,63.0,,,,40
,68.0,71.0,70.0,58.0,57.0,61.0,72.0,,,112
69.0,,72.0,62.0,59.0,52.0,,,70.0,70.0,185
71.0,72.0,71.0,73.0,58.0,,,68.0,54.0,,1
70.0,,71.0,,,54.0,61.0,74.0,66.0,75.0,197
71.0,71.0,,72.0,59.0,57.0,63.0,78.0,,,89
74.0,,75.0,,,58.0,67.0,74.0,63.0,71.0,121
73.0,75.0,,65.0,60.0,54.0,64.0,79.0,,,80
,71.0,73.0,68.0,,54.0,,83.0,59.0,77.0,161
75.0,,74.0,,,60.0,65.0,77.0,63.0,75.0,120
74.0,,,,62.0,57.0,66.0,79.0,60.0,72.0,155
,74.0,74.0,69.0,61.0,56.0,65.0,80.0,,,114
